1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
228	-0.760982	308.803676	0.004897	4.8
229	-0.556268	308.241874	0.015235	5.1
230	-0.489370	307.682789	0.007740	6.3
231	-0.598377	307.126400	0.005980	4.6
232	-0.948384	306.572687	0.010680	4.8
233	-0.490099	306.021627	0.006328	4.4
234	-0.000000	305.473201	0.000000	4.5
235	-0.000000	304.927388	0.000000	4.5
236	-0.000000	304.384168	0.000000	4.6
237	-0.070141	303.843521	0.001995	4.2
238	-0.834495	303.305427	0.005661	4.1
239	-0.295310	302.769867	0.002995	4.0
240	-0.679072	302.236821	0.011655	4.1
241	-0.786042	301.706270	0.005451	4.0
242	-0.098202	301.178196	0.001964	4.1
243	-0.000000	300.652580	0.000000	4.0
244	-0.000001	300.129402	0.000000	4.0
245	-0.273982	299.608645	0.004449	4.0
246	-0.538343	299.090291	0.005867	4.2
247	-0.000000	298.574321	0.000000	4.1
248	-0.085652	298.060718	0.003032	4.3
249	-0.000000	297.549465	0.000000	4.3
250	-0.000000	297.040543	0.000000	4.2
251	-0.000000	296.533936	0.000000	4.2
252	-0.000000	296.029626	0.000000	4.3
253	-0.000000	295.527597	0.000000	4.4
254	-0.548809	295.027832	0.010882	4.8
255	-0.002752	294.530315	0.000058	5.3
256	-0.854264	294.035028	0.010885	5.6
257	-0.000000	293.541956	0.000000	5.6
258	-0.516836	293.051083	0.003967	6.1
259	-0.305793	292.562393	0.005585	5.2
260	-0.000000	292.075870	0.000000	5.0
261	-0.000000	291.591498	0.000000	4.9
262	-0.681153	291.109263	0.005995	6.6
263	-0.114177	290.629149	0.002526	5.8
264	-0.788818	290.151140	0.006853	5.8
265	-0.129678	289.675222	0.002514	5.2
266	-0.620269	289.201380	0.004445	5.8
267	-0.000000	288.729600	0.000000	5.2
268	-0.438134	288.259866	0.007238	5.3
269	-0.630988	287.792165	0.010214	5.8
270	-0.413492	287.326481	0.005965	5.3
271	-0.000000	286.862802	0.000000	5.3
272	-0.000069	286.401113	0.000007	5.6
273	-0.014163	285.941400	0.000469	5.0
274	-0.000000	285.483649	0.000000	5.0
275	-0.336881	285.027847	0.002563	6.0
276	-0.001073	284.573981	0.000001	4.3
277	-0.000000	284.122037	0.000000	4.2
278	-0.863670	283.672002	0.005106	4.1
279	-0.021701	283.223863	0.000417	4.0
280	-0.688796	282.777607	0.006473	4.1
281	-0.000000	282.333221	0.000000	4.0
282	-0.000000	281.890692	0.000000	4.1
283	-0.711615	281.450008	0.003846	4.5
284	-0.763960	281.011157	0.006927	4.0
285	-1.058385	280.574125	0.009609	4.2
286	-0.634773	280.138901	0.004357	4.4
287	-0.342546	279.705473	0.002882	4.7
288	-0.000000	279.273829	0.000000	4.4
289	-0.000000	278.843956	0.000000	4.3
290	-0.461666	278.415844	0.010789	4.4
291	-0.456783	277.989479	0.008089	4.3
292	-0.301113	277.564851	0.002670	4.2
293	-0.431419	277.141949	0.005442	5.3
294	-0.585769	276.720761	0.007066	6.3
295	-0.225884	276.301275	0.006447	5.6
296	-0.026985	275.883480	0.000443	5.1
297	-0.000102	275.467366	0.000066	5.3
298	-0.000000	275.052922	0.000000	5.6
299	-0.496093	274.640136	0.006845	5.4
300	-0.116684	274.228998	0.003838	5.8
301	-0.355774	273.819497	0.005870	5.8
302	-0.000000	273.411623	0.000000	5.0
303	-0.000000	273.005365	0.000000	5.7
304	-0.008003	272.600712	0.000108	5.2
305	-0.179061	272.197655	0.001479	5.0
306	-0.000000	271.796184	0.000000	5.7
307	-0.000000	271.396287	0.000000	4.8
308	-0.000000	270.997956	0.000000	5.9
309	-0.232250	270.601180	0.003045	5.0
310	-0.000000	270.205949	0.000000	5.6
311	-0.456257	269.812254	0.007839	5.8
312	-0.345541	269.420085	0.002095	5.0
313	-0.737540	269.029432	0.008572	5.0
314	-0.000000	268.640287	0.000000	5.8
315	-0.741602	268.252638	0.005707	5.2
316	-0.000000	267.866478	0.000000	4.8
317	-0.543424	267.481796	0.004923	4.2
318	-0.416259	267.098584	0.008368	4.3
319	-0.189239	266.716833	0.003076	4.8
320	-0.152220	266.336533	0.001650	4.3
321	-1.052462	265.957676	0.009346	4.6
322	-0.625045	265.580253	0.004107	4.1
323	-0.591234	265.204254	0.008939	4.0
324	-0.716014	264.829672	0.011925	4.0
325	-0.847677	264.456497	0.003580	4.0
326	-0.251956	264.084721	0.004014	4.0
327	-0.704020	263.714335	0.007169	4.0
328	-0.000000	263.345332	0.000000	4.0
329	-0.688903	262.977702	0.003333	4.0
330	-0.607024	262.611438	0.005705	4.0
331	-0.000000	262.246531	0.000000	4.1
332	-0.893451	261.882973	0.004549	4.4
333	-0.351412	261.520756	0.004880	4.3
334	-0.000000	261.159871	0.000000	4.1
335	-0.288060	260.800312	0.004217	4.1
336	-0.000000	260.442070	0.000000	4.2
337	-0.476623	260.085137	0.007115	4.4
338	-0.276639	259.729505	0.004475	5.6
339	-0.000000	259.375167	0.000000	5.1
340	-0.072843	259.022116	0.000416	6.1
341	-0.033791	258.670343	0.000321	4.8
342	-0.878787	258.319841	0.006576	6.0
343	-0.647539	257.970602	0.007099	6.7
344	-0.000000	257.622620	0.000000	6.2
345	-0.874737	257.275887	0.008361	5.6
346	-0.268090	256.930396	0.005804	5.6
347	-0.638367	256.586139	0.007916	5.4
348	-0.840794	256.243109	0.004936	4.6
349	-0.786421	255.901300	0.005373	5.0
350	-0.000000	255.560703	0.000000	5.3
351	-0.000000	255.221313	0.000000	5.2
352	-0.000000	254.883122	0.000000	6.3
353	-0.127144	254.546124	0.003455	5.5
354	-0.232246	254.210311	0.007068	6.1
