1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
215	-0.628216	15.157904	6.604627	0.011156	10.1
216	-0.621436	16.157904	6.426882	0.007894	9.7
217	-0.620216	17.052989	6.275709	0.008386	9.7
218	-0.630492	18.049836	6.115505	0.009709	9.6
219	-0.612810	17.145728	6.260452	0.010750	9.3
220	-0.636393	18.105166	6.106853	0.008197	10.3
221	-0.609376	19.104813	5.954634	0.007042	9.0
222	-0.620674	20.027887	5.820662	0.009598	8.8
223	-0.634929	21.027887	5.682167	0.009057	9.3
224	-0.633022	20.115202	5.808301	0.006338	10.1
225	-0.634611	19.476175	5.900001	0.008396	9.1
226	-0.622560	20.193124	5.797314	0.004483	9.5
227	-0.631532	19.317733	5.923187	0.008746	9.6
228	-0.617517	20.307499	5.781262	0.006039	9.1
229	-0.605241	19.401737	5.910872	0.008520	8.9
230	-0.627635	20.390294	5.769698	0.007240	8.8
231	-0.605032	20.205565	5.795564	0.010441	9.9
232	-0.610341	21.205555	5.658248	0.010532	9.6
233	-0.610054	22.205555	5.527287	0.005601	9.5
234	-0.635249	22.224897	5.524813	0.009311	9.2
235	-0.620415	23.220270	5.400453	0.007895	9.1
236	-0.639621	22.319970	5.512688	0.008627	8.9
237	-0.604675	23.319953	5.388306	0.006653	8.9
238	-0.619047	22.407050	5.501629	0.007595	9.7
239	-0.615843	23.405594	5.377914	0.007928	10.4
240	-0.628282	24.000876	5.306774	0.008465	10.0
241	-0.607677	23.187570	5.404449	0.010035	10.2
242	-0.622443	22.274593	5.518469	0.009220	10.0
243	-0.641975	21.361617	5.637402	0.006059	10.1
244	-0.617965	22.352897	5.508501	0.005901	8.9
245	-0.632580	22.716261	5.462715	0.009340	9.2
246	-0.617582	23.714726	5.340735	0.013011	8.8
247	-0.635733	22.805834	5.451545	0.012243	9.2
248	-0.611760	23.805834	5.329875	0.010670	9.5
249	-0.628664	22.892856	5.440737	0.012262	9.5
250	-0.623585	21.979879	5.556309	0.011105	9.3
251	-0.613345	22.979805	5.429980	0.007431	9.1
252	-0.632739	22.067808	5.544965	0.008223	10.1
253	-0.627222	23.066722	5.419270	0.005119	10.2
254	-0.629520	24.019656	5.304560	0.014554	8.9
255	-0.634542	23.106696	5.414359	0.007727	8.9
