1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
231	-0.748678	307.126400	0.015228	7.0
232	-0.364715	306.572687	0.004817	6.1
233	-1.358283	306.021627	0.016400	5.9
234	-0.793759	305.473201	0.011443	5.2
235	-0.135406	304.927388	0.004150	5.8
236	-1.530636	304.384168	0.026634	6.2
237	-1.756874	303.843521	0.026337	5.6
238	-0.510024	303.305427	0.010017	5.9
239	-0.595221	302.769867	0.007451	6.8
240	-0.401063	302.236821	0.013721	6.5
241	-0.754591	301.706270	0.005700	6.2
242	-0.313225	301.178196	0.006573	5.6
243	-0.614956	300.652580	0.024531	5.9
244	-0.573786	300.129402	0.011042	5.9
245	-0.719802	299.608645	0.011377	7.0
246	-0.507075	299.090291	0.011100	6.4
247	-0.858391	298.574321	0.016494	5.9
248	-0.304383	298.060718	0.003071	6.0
249	-0.292939	297.549465	0.003702	5.9
250	-0.446872	297.040543	0.006199	5.8
251	-0.985733	296.533936	0.008296	5.7
252	-0.324395	296.029626	0.007314	5.6
253	-0.482134	295.527597	0.003835	5.8
254	-0.000000	295.027832	0.000000	5.7
255	-0.331326	294.530315	0.013474	6.4
256	-0.000000	294.035028	0.000000	5.5
257	-0.000000	293.541956	0.000000	6.9
258	-0.552477	293.051083	0.006548	5.9
259	-0.625145	292.562393	0.004559	5.9
260	-0.375776	292.075870	0.004798	5.1
261	-0.524399	291.591498	0.012963	5.1
262	-0.622913	291.109263	0.020455	5.0
263	-0.803581	290.629149	0.002720	5.6
264	-0.721178	290.151140	0.010555	5.4
265	-1.169488	289.675222	0.013689	5.7
266	-0.730902	289.201380	0.015053	5.3
267	-0.698853	288.729600	0.004763	5.4
268	-0.619518	288.259866	0.006457	5.5
269	-0.373418	287.792165	0.013221	5.3
270	-0.000000	287.326481	0.000000	5.6
271	-0.786150	286.862802	0.008860	5.6
272	-1.760780	286.401113	0.012500	5.7
273	-0.922294	285.941400	0.026597	5.8
274	-1.389724	285.483649	0.023686	5.0
275	-0.533789	285.027847	0.012587	5.8
276	-0.117715	284.573981	0.003630	5.8
277	-0.548769	284.122037	0.006547	5.7
278	-0.805274	283.672002	0.014748	5.4
279	-0.000025	283.223863	0.000004	5.0
280	-0.551716	282.777607	0.019614	5.2
281	-0.980035	282.333221	0.007300	5.4
282	-0.410209	281.890692	0.004086	5.3
283	-0.299886	281.450008	0.001103	5.4
284	-0.394402	281.011157	0.014070	4.9
285	-0.818285	280.574125	0.011804	5.5
286	-0.723996	280.138901	0.020520	6.4
287	-0.470408	279.705473	0.002619	6.0
288	-0.398513	279.273829	0.003081	5.6
289	-0.604852	278.843956	0.013303	5.0
290	-1.774621	278.415844	0.017983	5.1
291	-0.335853	277.989479	0.003186	5.5
292	-0.000000	277.564851	0.000000	5.4
293	-0.372894	277.141949	0.006256	5.3
294	-1.115399	276.720761	0.012743	4.9
295	-0.381231	276.301275	0.007307	6.4
296	-0.925218	275.883480	0.011423	5.6
297	-0.566394	275.467366	0.013513	6.2
298	-0.756457	275.052922	0.003611	6.3
299	-0.424481	274.640136	0.012242	6.4
300	-0.303271	274.228998	0.002981	5.6
301	-0.000000	273.819497	0.000000	5.0
302	-0.413062	273.411623	0.010485	5.3
303	-1.065836	273.005365	0.042642	5.1
304	-0.888284	272.600712	0.007329	5.7
305	-1.079971	272.197655	0.018326	6.1
306	-0.552650	271.796184	0.011103	5.8
307	-1.415950	271.396287	0.014256	5.7
308	-1.575101	270.997956	0.004882	6.1
309	-0.264255	270.601180	0.005138	5.7
310	-0.171863	270.205949	0.001506	5.8
311	-0.286702	269.812254	0.003397	5.5
312	-1.031002	269.420085	0.031579	5.0
313	-0.430192	269.029432	0.011726	5.0
314	-0.315584	268.640287	0.002585	5.4
315	-1.284266	268.252638	0.021583	5.1
316	-0.732631	267.866478	0.006947	6.8
317	-0.769303	267.481796	0.005432	5.7
318	-0.466863	267.098584	0.015119	5.5
319	-0.333157	266.716833	0.009245	5.1
320	-0.000000	266.336533	0.000000	5.4
321	-0.542752	265.957676	0.005052	5.3
322	-0.633167	265.580253	0.013656	5.3
323	-0.897643	265.204254	0.012967	5.3
324	-0.383897	264.829672	0.003871	5.6
325	-0.000000	264.456497	0.000000	5.7
326	-1.043365	264.084721	0.021037	5.9
327	-0.000491	263.714335	0.000008	5.7
328	-0.506073	263.345332	0.010191	5.6
329	-0.460248	262.977702	0.009107	6.2
330	-0.455323	262.611438	0.010168	5.5
331	-0.024406	262.246531	0.000318	5.6
332	-0.031932	261.882973	0.000286	5.6
333	-0.319926	261.520756	0.011293	5.6
334	-0.000004	261.159871	0.000001	6.3
335	-0.000623	260.800312	0.000011	5.8
336	-0.599485	260.442070	0.004713	5.9
337	-0.592740	260.085137	0.015952	5.7
338	-0.000000	259.729505	0.000000	5.9
339	-0.593376	259.375167	0.006060	4.9
340	-0.422740	259.022116	0.008237	4.5
341	-0.336897	258.670343	0.016470	5.4
342	-0.740938	258.319841	0.017728	5.3
343	-1.298268	257.970602	0.010997	5.1
344	-0.744436	257.622620	0.009145	5.6
345	-0.362698	257.275887	0.007088	6.4
346	-1.229134	256.930396	0.015704	5.4
347	-1.009872	256.586139	0.029043	5.5
348	-0.343862	256.243109	0.018255	5.2
349	-0.245183	255.901300	0.003632	5.1
350	-0.000000	255.560703	0.000000	5.2
351	-1.429748	255.221313	0.022737	5.0
352	-1.703077	254.883122	0.020094	4.3
353	-0.000000	254.546124	0.000000	4.4
354	-0.646970	254.210311	0.022544	5.0
355	-1.816793	253.875677	0.016671	4.9
356	-1.470171	253.542215	0.021568	4.9
357	-0.305302	253.209918	0.006203	5.6
358	-0.663087	252.878781	0.021496	5.9
359	-0.000000	252.548795	0.000000	6.3
360	-0.950086	252.219956	0.006144	5.3
361	-0.941502	251.892255	0.006255	4.8
362	-1.126661	251.565688	0.016294	5.4
363	-0.872186	251.240247	0.007309	5.1
364	-0.028623	250.915926	0.000116	6.0
365	-0.976274	250.592720	0.042139	6.2
366	-0.856451	250.270621	0.015764	6.5
367	-0.274598	249.949624	0.004215	5.9
368	-0.000000	249.629723	0.000000	5.1
369	-0.729317	249.310911	0.015393	4.9
370	-0.650423	248.993182	0.007680	5.0
371	-0.840505	248.676531	0.011386	5.2
372	-0.602352	248.360952	0.011512	5.1
373	-1.380975	248.046438	0.007659	5.7
374	-0.661196	247.732984	0.011584	6.6
375	-0.297474	247.420584	0.005410	5.7
376	-0.796999	247.109233	0.009746	6.3
377	-0.000000	246.798924	0.000000	6.0
378	-0.746344	246.489652	0.005057	4.9
379	-1.533731	246.181412	0.018016	5.2
380	-1.168589	245.874197	0.008453	4.9
381	-1.576858	245.568002	0.020820	4.7
382	-0.000000	245.262822	0.000000	4.9
383	-0.459119	244.958652	0.009023	4.9
384	-0.419565	244.655485	0.002809	4.9
385	-0.530438	244.353317	0.022501	4.9
386	-1.304070	244.052142	0.020168	5.0
387	-0.895177	243.751955	0.013079	4.9
388	-0.622998	243.452750	0.033918	5.5
389	-0.948254	243.154523	0.016118	5.9
390	-0.479100	242.857268	0.015340	5.4
